50 Year Period,Word_count,Author,Book,Death_date,URI
150,798,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
200,707,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
250,821,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
300,806,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
350,574,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
400,734,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
450,617,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
500,510,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
550,452,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
600,374,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
650,473,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
700,613,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
750,711,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
800,446,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
850,464,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
900,76,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
